Unnamed: 0	description	S210421121682	S210421121683	S210421121684	S210421121688	S210421121689	S210421121690	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	STD-NC	HSD-NC	Total
ECASYN-PWY	enterobacterial common antigen biosynthesis	37.318008700603606	160.0838504792018	54.59759035336083	184.2463646489063	416.1047200121793	365.44482635743657	453.0966987191878	248.771648489098	368.1909796918831	247.59201406149293	70.90300893829556	439.35199755159607	200.82742715886147	280.9431859576495	36.481991442505816			
ENTBACSYN-PWY	enterobactin biosynthesis	357.495095322421	532.7784496070168	498.4442143926693	644.6982299158021	1197.693070793773	959.813883428203	977.7828834228964	715.5652846183866	925.1817340696005	688.4749508048295	189.0433568527824	417.11948913949664	378.5535651736995	933.1928379092302	92.58757170479288			
FAO-PWY	fatty acid &beta;-oxidation I	4013.664784768114	3419.108646570919	3027.7484738185785	5825.965602259193	4985.378189290007	3324.62819990118	4169.386056356013	8425.477222953483	3068.049801998781	1847.1970965141504	672.8864621709745	4447.288137039174	2487.0053917510554	2978.188953257192	397.1863582862805			
FASYN-ELONG-PWY	fatty acid elongation -- saturated	42330.46931526296	37677.71396028019	121447.55593669316	33523.008817843154	12915.930861259334	10589.40277757951	12848.238756754205	73395.82662608894	33518.33033232461	12048.71106178782	1232.211666448702	6051.537636968846	3647.307065032821	7682.344168965439	1389.6650445345492			
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	25844.80033573008	16377.97861427463	83681.6395417471	17608.13794748519	5427.394458912845	4568.000684907622	6182.315463918213	41759.542937745486	21498.950599492644	6425.309736075737	496.4850296468457	4615.074376224191	1613.5052015821732	4221.674440386342	838.7542440649376			
FERMENTATION-PWY	mixed acid fermentation	36253.96921544211	37000.19622643539	60485.1069548916	30516.96018020371	78037.37821691549	42907.796135427976	8515.680056056262	60986.38038552207	18722.64028123241	11184.786639906664	5214.7122693341225	5154.889311996763	2263.615435877622	30634.36748629552	1021.4790142730596			
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	28369.671587157183	25168.20597673158	97180.60060251992	30093.93500081178	81226.534842573	42490.07974546064	10083.580181901763	44420.17679616057	24473.74991385843	8828.52302551652	5566.833168723149	4870.913838696736	3421.0129677806576	38864.36412069324	915.681843347613			
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	12117.74085787326	10935.951877081525	17627.290483343033	11978.682645885778	14657.404571604478	10489.149475417578	6303.410367277083	18161.09254063416	10099.14920006796	4984.964240571482	1037.6037671754773	1850.3730625883832	1431.837007382401	3119.552044355184	443.127820527385			
FUCCAT-PWY	fucose degradation	11837.508047830308	12298.264124853502	10972.555449758274	14862.330229215426	25178.103755445	16708.266498165554	8153.171534633341	17368.17423411592	9526.454031639756	6497.67894308804	1632.1252354006422	2407.6041500569213	2105.836969741524	9539.60892085315	474.32966725731006			
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	17416.988609454944	13569.97000962057	43501.36955269867	11906.88756469261	9577.032394292022	8418.172001265006	8791.54690830712	22756.42277412541	10881.006426325448	5093.6474036611135	971.2617863728047	3940.4770299904367	2681.648963415614	4175.281328864838	528.0262482090313			
GALACTARDEG-PWY	D-galactarate degradation I	3258.2191143444206	1898.69616282022	1442.4954116731053	1500.1741514530688	1606.641295235378	1454.4927803164935	2013.38784275057	4102.607536748774	1638.56935081376	959.7289721727764	185.4383302348696	1538.9332668967545	648.469791797005	1055.053727189539	174.07801294748643			
GALACTUROCAT-PWY	D-galacturonate degradation I	23426.95648249452	17817.97347943099	50268.57783132621	16020.938136790302	11725.639408121728	10834.008970468369	10721.099080025951	31901.52676290641	15373.985524978536	6051.057050948181	1309.7697996727338	4963.677984006506	3659.1685483892666	5504.037736215554	687.7206598860232			
GALLATE-DEGRADATION-I-PWY	gallate degradation II	0.0280124081610744	0.505407090050743	3.357417593507466	0.1157222706331452	102.65892984317642	19.16262356312017	419.4801553691709	82.54629145940191	217.08085528490025	95.58551819878927	23.38605030242714	903.7325582870712	59.18922695490399	399.2405036963869	0.0173530650941169			
GALLATE-DEGRADATION-II-PWY	gallate degradation I	7.856834067000197	23.02032176419588	24.068493179765188	56.513969718034325	287.2807339238136	106.7289325513158	542.9200489613453	95.17270377875305	233.9112512049056	103.90132076924016	38.59137057253617	907.8443861188812	64.93885212430807	449.1572287796378	0.0173530650941169			
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	23644.51038863028	25736.62364736401	52179.44299809388	18167.909596221703	68454.76806321966	34593.33161322678	11734.928413697704	34736.48599394989	9495.776265857114	7782.045488882022	5026.694258426877	3466.5525872736707	2614.617592185299	34658.215468609735	632.9375890110217			
GLUCARDEG-PWY	D-glucarate degradation I	3294.434211305132	1711.2502575471874	1484.102506913374	1521.6798745135434	1772.172161719755	1599.7748259972343	2907.110015919168	3652.451029114328	1534.1531745804764	845.5295182770901	193.88514883227387	1764.3029400830007	856.0446908019419	1188.3091353491704	192.6773994550312			
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	3258.2191143444206	1898.69616282022	1442.4954116731053	1500.1741514530688	1606.641295235378	1454.4927803164935	2013.38784275057	4102.607536748774	1638.56935081376	959.7289721727764	185.4383302348696	1538.9332668967545	648.469791797005	1055.053727189539	174.07801294748643			
GLUCONEO-PWY	gluconeogenesis I	58035.754225524506	55976.64198715518	125745.62818219836	40569.60772389695	33917.54318351308	27490.53397081419	17209.33600186788	85429.5290479213	35888.56205202515	16244.624083917448	2144.313180901441	7065.855773034292	5797.443956875776	11888.517486716602	1658.702967694791			
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	3023.525455231449	1237.9158951125592	19442.71400835431	5754.630181211568	704.8345961958952	1233.6022713094471	919.5331026399532	5545.788059649244	4298.156779884182	790.2721411266838	96.66748029995776	465.10703442173366	373.68814142578736	1158.0134334886438	157.75073473541823			
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	17357.64967579107	13846.713012699056	43633.98588173661	12510.567407760926	18415.80908521121	10385.680810495667	10155.29115190512	22612.075015336988	10320.4489310452	5383.971213400845	1379.8251819029224	4394.910408312551	3049.068547448058	8580.248311964786	532.8675955225241			
GLUTORN-PWY	L-ornithine biosynthesis	39826.4179574508	39676.46636851786	65162.86963408066	32761.044201862933	77308.20928029498	41613.87586651008	15098.9119539733	48143.1137383492	20318.49033064874	9132.806507885967	5187.878468557223	6238.853077679932	5576.97754600439	37693.0693128493	1216.0412226426083			
GLYCOCAT-PWY	glycogen degradation I (bacterial)	65554.87888454329	62044.21059198552	121720.82439507062	48112.488576370735	123015.37867252804	72590.10675969018	21762.62100723212	93046.02840321627	36261.24139525816	16542.669797639253	7846.49304852773	7847.401181606925	6495.523940758558	51989.534034295146	1902.7938482538589			
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	59557.44288335826	65682.1803762697	97600.04335221463	46575.6133219681	123843.24394695212	70335.7641531745	26825.969981414983	84570.41324750778	29679.25293785019	16279.47631592415	8250.809275273017	8364.00224181736	8356.523944918827	55110.45769628118	1733.2293159189487			
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	77.98384867312458	307.0349071952244	1130.264641039638	1960.8700421320395	2697.0562378483005	1616.630937182268	741.9945256715321	527.9424807261001	614.9239236517789	676.1785421196624	262.31505311579804	844.7872281039307	263.8240634563916	1232.3287074320526	35.77665242402293			
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	57746.22879581028	59379.79245868105	126896.60689503376	42173.92631124828	80909.87543334116	55446.62071752835	23568.267728345763	86714.51084009439	35213.790417500735	17461.33623197288	5083.199838438249	7373.117581764473	6210.730288415852	22289.856186899782	1589.340124376945			
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	21894.04414833073	23705.52722123565	29775.30691401892	14242.93041572396	12769.595715532614	12187.000913587774	11135.4100069426	38146.1168460923	11924.85685614568	8716.892794559879	1367.2837817905472	5791.9276558765205	3245.738441459111	5998.1236551212505	765.9576345949292			
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	154.40245466980485	684.5894822185793	395.7943677795657	1653.9610636378986	3068.4073856888185	2643.8954303282608	4267.245588322215	1247.2283928322124	1678.6006129421598	1359.5719644256692	607.3209356691517	3374.0121677323173	922.3666682185795	3452.3475394588686	325.5564990381848			
