	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121682	S210421121683	S210421121684	S210421121685	S210421121686	S210421121687	S210421121688	S210421121689	S210421121690	S210421121691	S210421121692	S210421121693	S210421121694	S210421121695	S210421121696	S210421121697	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
DENITRIFICATION-PWY	16.97179452665357	60.79912049419467	1.9558438231739093	7077.320064673861	17.234092593280483	3.4525664300819114	35.79417891895666	130.4496946443728	47.07670269100839	16.403119694421903	33.33099949404582	282.666000315732	24.93804220879826	17.786150367850574	17.01077517182627	93.77457779008691	137.39623224631498	228.34152057859663	138.51693065594498	44.38546518693936	107.65042269907187	126.42226993536278	41.18235082778243	19.62382404083717	69.4205617064969	6.121940214168021	100.21211441748113	50.12895343526225	97.35980163998661	8.449239124603329	38.77791454989703	1.1285698521119625	120.28147617864371	1093.1767281036987	36.086862150830946	106.80598596180849	44.2831135189379	0.7373016717214969
DENOVOPURINE2-PWY	82784.15622519256	250420.34327817053	82004.22422868565	157545.3831841029	83025.57793838702	31596.955426905366	111811.6662657566	56099.41154015414	61710.739116388286	26080.39577955208	33693.4778286615	92375.29890833574	43604.65967422154	16182.922247656748	26776.00807909405	31272.344159247055	52754.12304978591	29278.40439992692	44675.989451210444	17713.110899140564	36835.17085391696	15401.642684614451	54473.09510026841	23396.035126268227	9157.506902472709	3810.592782100321	6052.5986635762665	4803.056254091066	27058.698486800786	1006.4938539097254	7354.101680607443	2218.6502625892313	101199.79094375369	75940.10880051157	15904.980849544727	4887.492353655305	9540.788782190744	1070.21461117348
DHGLUCONATE-PYR-CAT-PWY	15.243105341905412	37.0730588710004	3.363371148382798	0.003212792556797905	0.00020708092997773477	0.00046179084713140155	32.63977068520897	9.504280714902178	11.606018252459867	0.0007170910404227604	0.0031804978976137403	10.591284470290047	0.0020789303545580852	0.00019112730607339027	0.0035669790326688096	22.47931641578344	62.117958355700544	138.9386990792658	26.345613720677573	43.84415147884124	32.99798237366019	190.41637124943415	13.187308877792626	15.56417229812086	39.29504969750446	0.0013383422119064127	214.65472677105535	7.767871211726979	81.68046939011508	0.0	57.197560750567185	0.0	0.0017687037795257252	98.1852747547356	55.04308601723222	0.0007009215384624775	27.822667461597696	22.212071170340607
DTDPRHAMSYN-PWY	152441.66214009692	432429.23657895223	102742.00618492998	227496.2112547651	104033.54826711488	48443.09895628519	219693.19098709937	70854.16869668815	116846.25034422435	49161.659594824625	48371.251546422216	119652.0624958932	59855.991009712794	20582.52032833317	16884.22315523944	34584.61389555389	77960.40497365991	39968.06447936622	72051.22734695631	23320.99214925974	54969.17382205387	15571.077155208082	60562.15730393321	29020.89557347277	10724.519857144614	5357.638219937703	6459.536451930689	5462.469427851444	38793.74786057242	1276.3968691893997	5592.141920263119	951.2146938612494	133842.14662880715	88448.94846205389	21761.446026614838	5624.123233837178	14094.425663778899	1791.4440843580921
ECASYN-PWY	359.83605353335986	245.11986570229394	828.331845895844	75.02494772418167	966.7445279455646	62.90538803431534	76.5929266599347	303.9653360456086	116.97307047740219	37.31808330861902	159.03215042401956	54.59757510324826	169.28273865493318	7.512032307666502	80.88390768917756	184.25155518954597	416.16523450161185	365.43794147143416	172.84952292638238	205.8685526877308	411.311205702914	453.035367410999	248.74727780142683	368.1276156783239	247.44322906743218	70.90265428740649	443.0672591180723	200.7962280291499	281.1603329606859	36.4975006252555	232.46036036979245	19.20387828467558	247.10657669063713	503.1598651561111	288.86852950515356	252.4974610621319	164.53376762150083	58.237299418249584
ENTBACSYN-PWY	2175.7821058657732	911.4034457889248	1951.7393784830567	324.4252951813618	2148.3991591828367	200.67234920029813	270.12334879414203	1019.7749240821931	393.06596288595586	357.96140056105713	529.882320590232	498.1535523086128	948.7774985655308	71.92544392521692	559.8989345159724	644.6084995891043	1197.711312583153	959.9797797678707	1281.7728689300773	857.7144008890649	1609.837241981067	977.2883811779794	713.843073673175	921.9028492555186	684.8829961714205	189.04334016489716	416.1574688547783	378.63842789728085	933.3089545178519	92.93934246430143	572.486047528464	47.46036444910521	384.4456521777265	1293.4961837245307	644.4923729286672	494.62151431461206	2766.002744243999	144.63379408080573
FAO-PWY	4920.586464602861	1862.7796739863152	2071.9135369068276	6005.887825391969	1865.4837820229504	892.501504678514	837.2020501241726	9730.04510483078	1021.464492861608	4015.823729690802	3415.0448267503184	3028.7284540448163	11001.679777454605	2123.9086091635636	2425.781575703773	5821.849919192864	5001.189596360242	3323.249570548418	5071.916083305628	3313.924160434516	4773.219677837456	4224.5413732113	8424.924141277605	3069.7632202309055	1870.158107963305	671.9910988633012	4461.72811257056	2485.129215789989	2993.112834697286	399.12501562807796	2171.5469920161154	117.64781327472907	2204.7184087255073	9921.934723518822	4845.877208538514	1723.3769140998716	3751.7239690383717	317.8210638787095
FASYN-ELONG-PWY	132129.06788844886	284613.68944016646	114973.77658657049	237742.2121099533	116904.78141943183	44747.11286882223	150949.54416213455	74663.9839151585	89173.23268194856	42345.50321781726	37532.17489435855	121253.07273191224	60208.051447939426	23187.849276384924	18818.963459777857	33577.781000240306	12417.809963597096	10347.634508602036	48081.20436621875	7498.326004394101	10446.764370605788	12618.687267840269	69323.48966323005	32692.16839882723	10970.340816257141	1232.1767056954461	6102.67649375183	3643.9860073753075	7502.352091960195	1400.3694654421272	5064.368811691499	1372.130732707224	127700.01481551572	92115.2995427335	13354.020383004292	6198.830890973772	7384.351937066324	750.4171070595245
FASYN-INITIAL-PWY	80018.94965593814	46550.93464805518	58090.653560967316	132232.34753809098	58429.313332266574	22444.89531779918	72622.94399148144	42213.972728137196	47505.51474138739	25847.317561369055	16373.905381793002	83629.77005736879	33698.35934764631	14362.833341693235	4614.172235616414	17639.763125182366	5434.717194098364	4571.928675904904	18510.30198597647	2697.0853632075896	2548.862851647438	6186.967356181781	41365.70800299462	21261.808077209043	6346.953960380839	496.48328548332034	4683.668826575881	1612.5586056668149	4220.851672284871	842.8173640159382	1997.1819014422629	369.9069326098834	95529.25816650421	59200.535159410916	9573.02170921568	3809.099095116806	2446.866610671924	381.26467016743385
FERMENTATION-PWY	80720.73324285055	91013.50643393544	13566.108471970325	59714.917077311504	12916.499225440692	21404.23889961607	17013.564602475482	52776.14232793531	25711.530074352868	36318.0892859166	36991.4070953419	60311.10477255436	48453.62779429997	14165.142286054053	11590.416044591608	30507.333197413278	78016.54340423382	42893.676026439876	53277.495944620154	23111.299963560752	56138.74542759308	8540.22603343846	55383.11822136085	17772.848761167887	11031.278959499237	5213.920242955604	5173.20329312703	2261.451584533497	30677.447820766076	1042.9538833562167	4919.004359404771	748.9393881089659	74311.38933023784	70196.19542065755	10385.650849710195	4246.553123973514	8264.24045494837	906.3622686142929
FOLSYN-PWY	101975.18221392107	212066.06085360207	93518.1355174004	177113.8166781879	95089.50174574678	26307.024553301082	104219.3021357239	48674.87449474537	57031.41957040551	28364.451277070206	25143.33019914886	96948.97120879243	35404.43596032619	14661.630298979917	8426.981860025331	30121.008551311916	81058.83137466655	42425.13168384081	48436.96262388243	22503.929533742383	57213.379094649375	10028.348865046011	43119.063900380155	24043.951217207654	8499.189716691979	5566.3084953349935	4897.861933081088	3412.6277172483988	38681.3020815606	944.2756405694616	5033.838644497401	501.57058461196465	92619.2499133139	61307.692067750606	13391.038426311408	4529.036840725626	7767.76056056631	818.342410146138
