Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697	NC	STD-NC	Total
ENTBACSYN-PWY	enterobactin biosynthesis	2171.106902338929	911.3816698351852	1949.835779036824	324.42494090429005	357.961277247094	529.8825421976555	498.1538047577097	977.2885196364372	713.843126582453	921.9028493482576	684.8829678554861			
FAO-PWY	fatty acid &beta;-oxidation I	4918.788019113268	1862.737125072972	2065.365792810893	6005.827359770494	4014.1500052785714	3415.043896483106	3028.811065520431	4224.540382160248	8424.9321606946	3069.765452684589	1870.1587885058584			
FASYN-ELONG-PWY	fatty acid elongation -- saturated	130739.8140710865	272904.25539473334	114659.6645931642	236265.2918353782	42328.97901430164	37532.17173889028	120803.33510879596	12618.684302576452	69323.49127712088	32692.17340166744	10970.330407148142			
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	79593.18005879414	46314.24155894939	57506.812596324206	131564.51417538294	25840.93248431379	16373.935219044355	83431.92196670624	6186.955866591561	41365.74383762566	21261.831879216345	6346.953836720062			
FERMENTATION-PWY	mixed acid fermentation	80168.66336643997	91535.45888157743	13288.555571173016	59583.93320358784	36291.539352027154	36991.40912835177	59701.22864177458	8540.224584271713	55383.06973128554	17772.849096049915	11031.267612889138			
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	100869.00423627812	202037.2684271502	93262.43622649458	175875.15202670413	28352.60472840153	25143.349086315047	96794.82465994058	10028.349049177192	43119.080588004086	24043.95553041782	8499.18667672899			
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	36578.15026221956	16235.35203736118	25433.516331500632	13699.8442812936	12119.328757815949	10938.993577354331	17624.8615273242	6315.98381806175	18183.090773579363	10092.294880737349	4990.119996124929			
FUCCAT-PWY	fucose degradation	30830.6548977782	7769.748662034292	17500.378300435816	6689.647786618284	11838.57848158899	12301.800669072449	10970.229778263136	8173.938734405897	17418.37611896877	9520.041290155514	6500.050001973565			
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	81200.14438964607	123139.97129710548	49683.7769599128	99103.88298358185	17413.439596847747	13585.66939789636	43494.69770775839	8824.44660049239	22777.89382064058	10875.889669881211	5105.406235973256			
GALACTARDEG-PWY	D-galactarate degradation I	8312.03758700496	1177.4054184219976	1166.4014214307276	3104.962482982997	3268.2803389656424	1896.2785867421933	1444.1086348008257	2017.4720269064017	4103.360333812643	1638.2141430493923	960.334301356619			
GALACTUROCAT-PWY	D-galacturonate degradation I	88232.04805096192	150533.23656502148	52872.62416979018	103601.3486863256	23430.37312193081	17835.666874288876	50267.00562472699	10768.220966289777	31939.194600691146	15366.723970645922	6067.009158228421			
GALLATE-DEGRADATION-I-PWY	gallate degradation II	0.0107691553059949	2.622699922770772	8.983733966378976	3.779825248526446	0.0280124108614823	0.5054126530802328	3.358511636665631	436.2931057455339	82.54629191898199	217.9057997214489	102.57733877229296			
GALLATE-DEGRADATION-II-PWY	gallate degradation I	17.856864431923547	60.41227463768696	25.248037785083344	16.755859292587097	7.856841108956979	23.03182580532334	24.35346879626553	547.2492462293128	95.17270438968222	234.09466530413707	106.01779275363296			
